,location,grade,route,class
0, Bristol R,V1,On a Prayer,
1, Bristol R,{FR} V5,★★ Knuckle Duster,
2, Bristol R,{FR} V6,Concatenate Drifts,
3, Bristol R,{FR} V6,★★ Knuckle Duster sit start,
4, Bristol R,{FR} V7,Living the Dream sit start,Boulder
5, Bristol R,{FR} V3,★ Paradise,Boulder
6, Bristol R,{FR} V0,★ Central Arete,Boulder 3m
7, Bristol R,{FR} V4,Nose Picker,Boulder
8, Bristol R,{FR} V3,★ The Nose,Boulder
9, Bristol R,V2,★ Five foot Voyage,Boulder 3m
10, Bristol R,V2,★★ The Wall,Boulder 3m
11, Bristol R,{FR} V5,The wall sit start *1,Boulder
12, Bristol R,{FR} V6,The wall sit start *2,Boulder
13, Bristol R,{FR} V7,The wall sit start *3,Boulder
14, Bristol R,{FR} V1,Mini Arete,Boulder 2m
15, Bristol R,{FR} V3,Mini arete sit start,Boulder 3m
16, Bristol R,{FR} V5,The Underpass,Boulder
17, Bristol R,{FR} V5,The Undertaker,Boulder
18, Bristol R,{FR} V6,Undercrackers,Boulder
19, Bristol R,{FR} V2,Left Wall,Boulder
20, Bristol R,{FR} V6,Happy Slapping,Boulder
21, Bristol R,{FR} V2,Central Wall,Boulder
22, Bristol R,{FR} V2,Pocket to me,Boulder
23, Bristol R,{FR} V4,Rise and Shine,Boulder
24, Bristol R,{FR} V5,Creaky Roof Traverse,Boulder
25, Bristol R,{FR} V4,Edge of it All,Boulder
26, Bristol R,{FR} V2,Throw up ,Boulder
27, Bristol R,{FR} V1,Dinner Plate Roof,Boulder
28, Bristol R,{FR} V4,The Rocker,Boulder
29, Bristol R,{FR} V2,Cave Roof,Boulder
30, Bristol R,{FR} V6,Youch!,Boulder
